id,kod,nazov_sk,nazov_en,katalogove_cislo_navrh,katalog_overeny,skupina,pravny_status,sezonnost,drahy,poznamka
1,pivovarske_mlato,Pivovarské mláto,Brewer's spent grain,02 07 01,0,napoje,vedlajsi_produkt,celorocne,"H,F,E","Najväčší jednotlivý tok v SR; vlhkosť 75-80 %, rýchlo sa kazí"
2,pivovarske_kvasnice,Pivovarské kvasnice,Spent brewer's yeast,02 07 05,0,napoje,vedlajsi_produkt,celorocne,"H,F",Vysoký obsah dusíkatých látok a B-vitamínov
3,chmelovy_mlat,Chmeľový mlát,Spent hops,02 07 01,0,napoje,odpad,celorocne,"F,A",Horké látky obmedzujú kŕmne využitie
4,kremelinovy_kal,Kremelinový kal z filtrácie,Kieselguhr filter sludge,02 07 05,0,napoje,odpad,celorocne,A,Vysoký podiel anorganického nosiča
5,sladovy_klicok,Sladový klíčok,Malt rootlets,02 07 01,0,napoje,krmna_surovina,celorocne,"H,F",Zapísaný v Katalógu kŕmnych surovín (EÚ) 68/2013
6,sladovy_prach,Sladový prach a plevy,Malt dust and husks,02 07 01,0,napoje,vedlajsi_produkt,celorocne,"H,F",
7,hroznove_vylisky,Hroznové výlisky (matolina),Grape pomace,02 07 04,0,napoje,vedlajsi_produkt,sezonne_jesen,"F,E",Polyfenoly a taníny znižujú stráviteľnosť
8,vinne_kaly,Vínne kaly,Wine lees,02 07 05,0,napoje,odpad,sezonne_jesen,"F,A",
9,hroznove_stopky,Hroznové stopky (strapiny),Grape stalks,02 07 01,0,napoje,odpad,sezonne_jesen,"E,A","Lignocelulóza, vyžaduje predúpravu"
10,vypalky,Liehovarnícke výpalky,Distillery stillage,02 07 02,0,napoje,vedlajsi_produkt,celorocne,"H,F,A","Nízke pH, vysoký obsah vody"
11,jablcne_vylisky,Jablčné výlisky,Apple pomace,02 07 04,0,napoje,vedlajsi_produkt,sezonne_jesen,"H,F,E",Vysoký podiel pektínu a NSC
12,bobulove_vylisky,Výlisky z bobuľového ovocia,Berry pomace,02 07 04,0,napoje,vedlajsi_produkt,sezonne_leto,"H,F",
13,citrusove_vylisky,Citrusové výlisky,Citrus peel,02 03 04,0,potravinarstvo,vedlajsi_produkt,celorocne,"F,E",Limonén inhibuje mikrobiálne procesy
14,srvatka_sladka,Sladká srvátka,Sweet whey,02 05 01,0,mliekarstvo,vedlajsi_produkt,celorocne,"F,E",Laktóza ako uhlíkový zdroj pre kvasinky
15,srvatka_kysla,Kyslá srvátka,Acid whey,02 05 01,0,mliekarstvo,odpad,celorocne,"F,A","pH pod 5, horšie zhodnotiteľná"
16,srvatkovy_permeat,Srvátkový permeát,Whey permeate,02 05 01,0,mliekarstvo,vedlajsi_produkt,celorocne,F,
17,cmar,Cmar,Buttermilk,02 05 01,0,mliekarstvo,krmna_surovina,celorocne,"H,F",
18,mliekarensky_kal,Kal z mliekarenskej ČOV,Dairy WWTP sludge,02 05 02,0,mliekarstvo,odpad,celorocne,A,Kontrola kontaminantov nutná
19,bachorovy_obsah,Obsah bachora a tráviaceho traktu,Rumen and digestive tract content,02 02 04,0,maso,odpad,celorocne,"H,A",ABP kat. 2 - pre hmyz na krmivá neprípustné
20,krv_bitunok,Krv z bitúnku,Slaughterhouse blood,02 02 03,0,maso,vedlajsi_produkt,celorocne,F,ABP kat. 3; pre hmyz obmedzené nar. (ES) 1069/2009
21,perie,Perie z hydinových bitúnkov,Poultry feathers,02 02 02,0,maso,odpad,celorocne,"E,F",Keratín - vyžaduje keratinolytické mikroorganizmy
22,kostny_zvysok,Kosti a kostné zvyšky,Bone residues,02 02 02,0,maso,vedlajsi_produkt,celorocne,E,
23,kozne_odrezky,Kožné odrezky a podkožný tuk,Hide trimmings and fat,02 02 02,0,maso,odpad,celorocne,"E,A",
24,masovy_flotacny_kal,Flotačný kal z mäsospracovania,Meat processing flotation sludge,02 02 04,0,maso,odpad,celorocne,A,
25,rybie_zvysky,"Rybie hlavy, vnútornosti a kosti",Fish processing residues,02 02 03,0,maso,vedlajsi_produkt,celorocne,"E,F",Zdroj rybieho oleja a hydrolyzátu
26,kal_akvakultura,Kal z akvakultúry,Aquaculture sludge,02 01 01,0,maso,odpad,celorocne,A,
27,repne_rezky,Cukrovarnícke repné rezky,Sugar beet pulp,02 04 99,0,potravinarstvo,krmna_surovina,sezonne_jesen,"H,F,E",Kampaň september-január
28,melasa,Melasa,Molasses,02 04 99,0,potravinarstvo,krmna_surovina,sezonne_jesen,F,Uhlíkový substrát pre fermentácie
