osm_id,nazov,nazov_norm,okres,kraj,typ,lon,lat
5407898,Bohatá,bohata,Komárno,Nitriansky,village,18.201948,47.887709
9335667,Zálesie,zalesie,Senec,Bratislavský,village,17.275394,48.166954
15235724,Lányiho Huta,lanyiho huta,Rožňava,Košický,hamlet,20.337604,48.836511
15242357,Dobšinská Ľadová Jaskyňa,dobsinska ladova jaskyna,Rožňava,Košický,village,20.303507,48.873992
15243569,Hronský Beňadik,hronsky benadik,Žarnovica,Banskobystrický,village,18.560033,48.345849
17810022,Vík,vik,Komárno,Nitriansky,village,18.148618,47.858489
17974736,Bratislava,bratislava,Bratislava I,Bratislavský,city,17.109671,48.153538
21424903,Chorvátsky Grob - Čierna Voda,chorvatsky grob cierna voda,Senec,Bratislavský,village,17.232043,48.224227
25312048,Nová Dedinka,nova dedinka,Senec,Bratislavský,village,17.354915,48.180581
25322019,Chorvátsky Grob,chorvatsky grob,Senec,Bratislavský,village,17.289747,48.227611
25322502,Vajnory,vajnory,Bratislava III,Bratislavský,suburb,17.206666,48.204418
25938759,Rača,raca,Bratislava III,Bratislavský,suburb,17.1534,48.211512
26035645,Beluša,belusa,Púchov,Trenčiansky,town,18.333333,49.066667
26035646,Pusté Pole,puste pole,Stará Ľubovňa,Prešovský,village,20.9,49.216667
26035647,Hažín nad Cirochou,hazin nad cirochou,Humenné,Prešovský,village,21.961729,48.929264
26035648,Demandice,demandice,Levice,Nitriansky,village,18.782,48.12704
26035649,Laskár,laskar,Martin,Žilinský,hamlet,18.876933,48.956344
26035650,Vyškovce nad Ipľom,vyskovce nad iplom,Levice,Nitriansky,village,18.869463,48.056408
26035651,Báč,bac,Galanta,Trnavský,village,17.566667,48.133333
26035652,Pochabany,pochabany,Bánovce nad Bebravou,Trenčiansky,village,18.145435,48.692447
26035653,Kosihovce,kosihovce,Veľký Krtíš,Banskobystrický,village,19.202351,48.182274
26035654,Iňačovce,inacovce,Michalovce,Košický,village,22.033333,48.7
26035655,Arnutovce,arnutovce,Spišská Nová Ves,Košický,village,20.495212,48.979856
26035656,Dolná Breznica,dolna breznica,Púchov,Trenčiansky,village,18.261852,49.080275
