ico;nazov;obec;okres;typ_prevadzky;jednotka;hodnota;zdroj
36168165;Fakultná nemocnica AGEL Košice-Šaca a. s.;Košice;Košice I;nemocnica;lôžko;;
44444761;Fakultná nemocnica AGEL Skalica a.s.;Skalica;Skalica;nemocnica;lôžko;;
47249048;Nemocnica A. Leňa Humenné, a.s.;Humenné;Humenné;nemocnica;lôžko;;
36348015;Nemocnica AGEL Bánovce s.r.o.;Bánovce nad Bebravou;Bánovce nad Bebravou;nemocnica;lôžko;;
36339865;Nemocnica AGEL Handlová s.r.o.;Handlová;Prievidza;nemocnica;lôžko;;
36182672;Nemocnica AGEL Krompachy s.r.o.;Krompachy;Spišská Nová Ves;nemocnica;lôžko;;
36594849;Nemocnica AGEL Levoča a.s.;Levoča;Levoča;nemocnica;lôžko;;
45594929;Nemocnica AGEL Zvolen a.s.;Zvolen;Zvolen;nemocnica;lôžko;;
43956513;Nemocnica Banská Štiavnica, a.s.;Banská Štiavnica;Banská Štiavnica;nemocnica;lôžko;;
37886436;Nemocnica Dr. Vojtecha Alexandra v Kežmarku n.o.;Kežmarok;Kežmarok;nemocnica;lôžko;;
36083895;Nemocnica Piešťany n.f.;Piešťany;Piešťany;nemocnica;lôžko;;
36513458;Nemocnica Poprad, a.s.;Poprad;Poprad;nemocnica;lôžko;;
36509108;Nemocnica Snina, s.r.o.;Snina;Snina;nemocnica;lôžko;;
47236736;Nemocnica Topoľčany, a. s.;Topoľčany;Topoľčany;nemocnica;lôžko;;
47249099;Nemocnica arm. generála L. Svobodu Svidník, a.s.;Svidník;Svidník;nemocnica;lôžko;;
48220558;Nemocnica novej generácie Michalovce, a.s.;Košice - mestská časť Staré Mesto;Bratislava I;nemocnica;lôžko;;
31908969;Nemocnica s poliklinikou Brezno, n.o.;Brezno;Brezno;nemocnica;lôžko;;
44455356;Nemocnica s poliklinikou Dunajská Streda, a.s.;Dunajská Streda;Dunajská Streda;nemocnica;lôžko;;
36713091;Nemocnica s poliklinikou Hlohovec, s.r.o.;Hlohovec;Hlohovec;nemocnica;lôžko;;
36119385;Nemocnica s poliklinikou Ilava, n. o.;Ilava;Ilava;nemocnica;lôžko;;
36597350;Nemocnica s poliklinikou Spišská Nová Ves, a.s.;Spišská Nová Ves;Spišská Nová Ves;nemocnica;lôžko;;
44452519;Nemocnica s poliklinikou Sv. Lukáša Galanta, a.s.;Galanta;Galanta;nemocnica;lôžko;;
36597376;Nemocnica s poliklinikou Trebišov, a.s.;Trebišov;Trebišov;nemocnica;lôžko;;
45740020;Nemocnica s poliklinikou Trebišov, n.o.;Trebišov;Trebišov;nemocnica;lôžko;;
45737967;Nemocnica s poliklinikou n.o. Kráľovský Chlmec;Kráľovský Chlmec;Trebišov;nemocnica;lôžko;;
36597341;Nemocnica s poliklinikou sv. Barbory Rožňava, a.s.;Rožňava;Rožňava;nemocnica;lôžko;;
44927380;Nemocnica s poliklinikou Štefana Kukuru Michalovce, a.s.;Michalovce;Michalovce;nemocnica;lôžko;;
35581000;Psychiatrická nemocnica Michalovce, n. o.;Michalovce;Michalovce;nemocnica;lôžko;;
35582391;Regionálna nemocnica Sobrance, n. o.;Sobrance;Sobrance;nemocnica;lôžko;;
45999848;Svidnícka nemocnica s poliklinikou Dr. Jozefa Žáka, s.r.o.;Svidník;Svidník;nemocnica;lôžko;;
44570783;Univerzitná nemocnica - Nemocnica svätého Michala, a. s.;Bratislava;Bratislava I;nemocnica;lôžko;;
31386563;Univerzitná nemocnica AGEL Milosrdní bratia s. r. o.;Bratislava;Bratislava I;nemocnica;lôžko;;
47249021;Vranovská nemocnica, a.s.;Vranov nad Topľou;Vranov nad Topľou;nemocnica;lôžko;;
37954571;Všeobecná nemocnica s poliklinikou Lučenec n.o.;Lučenec;Lučenec;nemocnica;lôžko;;
37886851;Ľubovnianska nemocnica, n.o.;Stará Ľubovňa;Stará Ľubovňa;nemocnica;lôžko;;
36077739;Špecializovaná nemocnica pre ortopedickú protetiku Bratislava, n.o.;Bratislava - mestská časť Ružinov;Bratislava II;nemocnica;lôžko;;
37971832;Špecializovaná nemocnica sv. Svorada Zobor, n.o.;Nitra;Nitra;nemocnica;lôžko;;
52585204;Materská škola - Óvoda, Komárovská 58, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_materska;dieťa;;
52547591;Materská škola s VJM - Óvoda, Rimavská Seč 410;Rimavská Seč;Rimavská Sobota;skola_materska;dieťa;;
42187184;Materská škola, 29. augusta 64, Hronec;Hronec;Brezno;skola_materska;dieťa;;
42085438;Materská škola, Antona Prídavka 1, Prešov;Prešov;Prešov;skola_materska;dieťa;;
53200331;Materská škola, Bodvianska 4, Bratislava;Bratislava - mestská časť Vrakuňa;Bratislava II;skola_materska;dieťa;;
35559420;Materská škola, Budapeštianska 1, Košice;Košice - mestská časť Sídlisko Ťahanovce;Košice I;skola_materska;dieťa;;
36129682;Materská škola, Chmelinec 1411/6, Púchov;Púchov;Púchov;skola_materska;dieťa;;
37842129;Materská škola, Dr. Clementisa 59, Skalica;Skalica;Skalica;skola_materska;dieťa;;
37863606;Materská škola, Družstevná 22, Šaľa;Šaľa;Šaľa;skola_materska;dieťa;;
42029503;Materská škola, Dubovica 48;Dubovica;Sabinov;skola_materska;dieťa;;
37876643;Materská škola, Duk. hrdinov 2078/13, Snina;Snina;Snina;skola_materska;dieťa;;
37855735;Materská škola, Dvorany nad Nitrou 22;Dvorany nad Nitrou;Topoľčany;skola_materska;dieťa;;
31787045;Materská škola, Estónska 5207/3, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_materska;dieťa;;
37961161;Materská škola, Farská ulica 1274/2, Cabaj-Čápor;Cabaj-Čápor;Nitra;skola_materska;dieťa;;
31811523;Materská škola, Hlavná 88, Gajary;Gajary;Malacky;skola_materska;dieťa;;
35566451;Materská škola, Hlavná ulica 3, Krompachy;Krompachy;Spišská Nová Ves;skola_materska;dieťa;;
37812556;Materská škola, Horný Vadičov 515;Horný Vadičov;Kysucké Nové Mesto;skola_materska;dieťa;;
42213738;Materská škola, Klokočov 976;Klokočov;Čadca;skola_materska;dieťa;;
42447470;Materská škola, Koniarkova 9, Bratislava;Bratislava - mestská časť Vajnory;Bratislava III;skola_materska;dieťa;;
37909631;Materská škola, Korňa 720;Korňa;Čadca;skola_materska;dieťa;;
37812769;Materská škola, Kysucký Lieskovec 309;Kysucký Lieskovec;Kysucké Nové Mesto;skola_materska;dieťa;;
37842382;Materská škola, Lazová 926/5, Pata;Pata;Galanta;skola_materska;dieťa;;
37959999;Materská škola, Lhenická 34, Budča;Budča;Zvolen;skola_materska;dieťa;;
37903152;Materská škola, Lietava 368;Lietava;Žilina;skola_materska;dieťa;;
30853711;Materská škola, Linzbothova 9847/18, Bratislava;Bratislava - mestská časť Podunajské Biskupice;Bratislava II;skola_materska;dieťa;;
37990411;Materská škola, Lúčky 14, Holíč;Holíč;Skalica;skola_materska;dieťa;;
37864122;Materská škola, MDŽ 26, Šurany;Šurany;Nové Zámky;skola_materska;dieťa;;
42308763;Materská škola, Malinovského 874, Krupina;Krupina;Krupina;skola_materska;dieťa;;
36129691;Materská škola, Mládežnícka 1438/13, Púchov;Púchov;Púchov;skola_materska;dieťa;;
37841491;Materská škola, Nám. A. Hlinku 32, Cífer;Cífer;Trnava;skola_materska;dieťa;;
37961284;Materská škola, Nám. Gy. Széchényiho 3, Nové Zámky;Nové Zámky;Nové Zámky;skola_materska;dieťa;;
42303117;Materská škola, Nám. SNP 17, Detva;Detva;Detva;skola_materska;dieťa;;
37906089;Materská škola, Ochodnica 355;Ochodnica;Kysucké Nové Mesto;skola_materska;dieťa;;
37947958;Materská škola, Partizánska 22, Humenné;Humenné;Humenné;skola_materska;dieťa;;
37814036;Materská škola, Pod brehom 207, Hruštín;Hruštín;Námestovo;skola_materska;dieťa;;
