id,nazov,okres,kraj,lat,lon,typ
1,Harmanec,Banská Bystrica,Banskobystrický,48.795803,19.080853,village
2,Kežmarok,Kežmarok,Prešovský,49.136318,20.430447,town
3,Lipany,Sabinov,Prešovský,49.15,20.966667,town
4,Levoča,Levoča,Prešovský,49.025112,20.587999,town
5,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,48.763325,17.830386,town
6,Zlaté Moravce,Zlaté Moravce,Nitriansky,48.383333,18.4,town
7,Želiezovce,Levice,Nitriansky,48.049226,18.658355,town
8,Banská Štiavnica,Banská Štiavnica,Banskobystrický,48.458093,18.89828,town
9,Námestovo,Námestovo,Žilinský,49.409512,19.480783,town
10,Ružomberok,Ružomberok,Žilinský,49.08187,19.302965,town
11,Zvolen,Zvolen,Banskobystrický,48.576512,19.128476,town
12,Krompachy,Spišská Nová Ves,Košický,48.917127,20.873055,town
13,Poprad,Poprad,Prešovský,49.054152,20.29764,town
14,Prešov,Prešov,Prešovský,49.000411,21.252273,city
15,Rožňava,Rožňava,Košický,48.654392,20.531184,town
16,Vranov nad Topľou,Vranov nad Topľou,Prešovský,48.890524,21.680564,town
17,Modra,Pezinok,Bratislavský,48.336443,17.308037,town
18,Lučenec,Lučenec,Banskobystrický,48.330282,19.664144,town
19,Turčianske Teplice,Turčianske Teplice,Žilinský,48.862737,18.858728,town
20,Bratislava - mestská časť Nové Mesto,Bratislava III,Bratislavský,48.167188,17.138349,suburb
21,Dunajská Streda,Dunajská Streda,Trnavský,47.989309,17.620142,town
22,Galanta,Galanta,Trnavský,48.191057,17.727778,town
23,Nitra,Nitra,Nitriansky,48.31257,18.09061,city
24,Nové Zámky,Nové Zámky,Nitriansky,47.98334,18.166661,town
25,Senica,Senica,Trnavský,48.679121,17.364383,town
26,Topoľčany,Topoľčany,Nitriansky,48.559116,18.176052,town
27,Trenčín,Trenčín,Trenčiansky,48.892358,18.039372,city
28,Trnava,Trnava,Trnavský,48.37729,17.586718,city
29,Čadca,Čadca,Žilinský,49.440819,18.788221,town
30,Liptovský Mikuláš,Liptovský Mikuláš,Žilinský,49.083333,19.616667,town
31,Prievidza,Prievidza,Trenčiansky,48.77104,18.623306,town
32,Krupina,Krupina,Banskobystrický,48.352728,19.069182,town
33,Žarnovica,Žarnovica,Banskobystrický,48.483398,18.72155,town
34,Žilina,Žilina,Žilinský,49.223464,18.739498,city
35,Humenné,Humenné,Prešovský,48.934603,21.90314,town
36,Michalovce,Michalovce,Košický,48.75,21.933333,town
37,Revúca,Revúca,Banskobystrický,48.683333,20.116667,town
38,Pribeta,Komárno,Nitriansky,47.906807,18.30927,village
39,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,48.149645,17.164279,suburb
40,Veľké Zálužie,Nitra,Nitriansky,48.308171,17.940569,village
41,Mojmírovce,Nitra,Nitriansky,48.213314,18.064323,village
42,Neverice,Zlaté Moravce,Nitriansky,48.366667,18.283333,village
43,Tvrdošovce,Nové Zámky,Nitriansky,48.095688,18.061308,town
44,Zemné,Nové Zámky,Nitriansky,47.987724,17.994901,village
45,Bolešov,Ilava,Trenčiansky,48.983333,18.15,village
46,Dubnica nad Váhom,Ilava,Trenčiansky,48.957172,18.167022,town
47,Pruské,Ilava,Trenčiansky,49.033333,18.216667,village
48,Diviaky nad Nitricou,Prievidza,Trenčiansky,48.766667,18.5,village
49,Brezová pod Bradlom,Myjava,Trenčiansky,48.661644,17.53703,town
50,Poriadie,Myjava,Trenčiansky,48.775141,17.608252,village
51,Chynorany,Partizánske,Trenčiansky,48.609821,18.27348,village
52,Ludanice,Topoľčany,Nitriansky,48.501468,18.120379,village
53,Podlužany,Bánovce nad Bebravou,Trenčiansky,48.770966,18.239113,village
54,Pravotice,Bánovce nad Bebravou,Trenčiansky,48.678024,18.298095,village
55,Rybany,Bánovce nad Bebravou,Trenčiansky,48.666713,18.260228,village
56,Slatina nad Bebravou,Bánovce nad Bebravou,Trenčiansky,48.745418,18.235802,okres_centroid
57,Veľké Chlievany,Bánovce nad Bebravou,Trenčiansky,48.703784,18.224509,village
58,Veľké Uherce,Partizánske,Trenčiansky,48.613712,18.438069,village
59,Bošáca,Nové Mesto nad Váhom,Trenčiansky,48.826459,17.842651,village
60,Bzince pod Javorinou,Nové Mesto nad Váhom,Trenčiansky,48.786735,17.771587,village
61,Drietoma,Trenčín,Trenčiansky,48.9,17.95,village
62,Hôrka nad Váhom,Nové Mesto nad Váhom,Trenčiansky,48.716667,17.883333,village
63,Bobot,Trenčín,Trenčiansky,48.806392,18.189604,village
64,Chocholná-Velčice,Trenčín,Trenčiansky,48.866811,17.948123,village
65,Modrovka,Nové Mesto nad Váhom,Trenčiansky,48.649201,17.882281,village
66,Nemšová,Trenčín,Trenčiansky,48.961676,18.113025,town
67,Trenčianska Teplá,Trenčín,Trenčiansky,48.93373,18.120323,village
68,Pobedim,Nové Mesto nad Váhom,Trenčiansky,48.65,17.8,village
69,Podolie,Nové Mesto nad Váhom,Trenčiansky,48.674218,17.774922,village
70,Soblahov,Trenčín,Trenčiansky,48.864744,18.072372,village
71,Stará Turá,Nové Mesto nad Váhom,Trenčiansky,48.776457,17.692694,town
72,Trenčianska Turná,Trenčín,Trenčiansky,48.85,18.016667,village
73,Trenčianske Mitice,Trenčín,Trenčiansky,48.823,18.113,village
74,Trenčianske Stankovce,Trenčín,Trenčiansky,48.838974,17.987249,village
75,Modrová,Nové Mesto nad Váhom,Trenčiansky,48.644488,17.895336,village
76,Kostolná-Záriečie,Trenčín,Trenčiansky,48.878828,17.96711,village
77,Zemianske Podhradie,Nové Mesto nad Váhom,Trenčiansky,48.85,17.833333,village
78,Volkovce,Zlaté Moravce,Nitriansky,48.333333,18.466667,village
79,Hurbanovo,Komárno,Nitriansky,47.869084,18.189095,town
80,Komárno,Komárno,Nitriansky,47.757388,18.129917,town
81,Partizánske,Partizánske,Trenčiansky,48.627231,18.365466,town
82,Kovarce,Topoľčany,Nitriansky,48.496327,18.158903,village
83,Horné Obdokovce,Topoľčany,Nitriansky,48.493402,18.045731,village
84,Veľké Kosihy,Komárno,Nitriansky,47.766667,17.883333,village
85,Trávnik,Komárno,Nitriansky,47.773817,17.788543,village
86,Stupava,Malacky,Bratislavský,48.273132,17.032746,town
87,Šahy,Levice,Nitriansky,48.172145,18.713842,okres_centroid
88,Šaľa,Šaľa,Nitriansky,48.150995,17.876502,town
89,Kamenica nad Hronom,Nové Zámky,Nitriansky,47.831308,18.725503,village
90,Lipová,Bardejov,Prešovský,49.248768,21.479465,village
91,Strekov,Nové Zámky,Nitriansky,47.9,18.416667,village
92,Podhájska,Nové Zámky,Nitriansky,48.10382,18.339624,village
93,Sikenička,Nové Zámky,Nitriansky,47.933333,18.683333,village
94,Jarok,Nitra,Nitriansky,48.27723,17.964227,village
95,Skalka nad Váhom,Trenčín,Trenčiansky,48.928,18.072,village
96,Adamovské Kochanovce,Trenčín,Trenčiansky,48.853,17.925,village
97,Maňa,Nové Zámky,Nitriansky,48.15367,18.285713,village
98,Cerová,Senica,Trnavský,48.586342,17.382769,village
99,Myjava,Myjava,Trenčiansky,48.754035,17.565022,town
100,Skalica,Skalica,Trnavský,48.770797,17.20201,okres_centroid
101,Okoč,Dunajská Streda,Trnavský,47.886638,17.809046,village
102,Santovka,Levice,Nitriansky,48.156779,18.765721,village
103,Levice,Levice,Nitriansky,48.216667,18.6,town
104,Lontov,Levice,Nitriansky,48.05,18.783333,village
105,Komoča,Nové Zámky,Nitriansky,47.949753,18.022658,village
106,Košice,Košice I,Košický,48.717227,21.249677,city
107,Križovany nad Dudváhom,Trnava,Trnavský,48.322017,17.651682,village
108,Hlohovec,Hlohovec,Trnavský,48.427951,17.798585,town
109,Terchová,Žilina,Žilinský,49.25922,19.030518,village
110,Púchov,Púchov,Trenčiansky,49.123992,18.324242,town
111,Lednické Rovne,Púchov,Trenčiansky,49.066667,18.283333,village
112,Považská Bystrica,Považská Bystrica,Trenčiansky,49.114507,18.447319,town
113,Slavnica,Ilava,Trenčiansky,49.0,18.183333,village
114,Dolný Lieskov,Považská Bystrica,Trenčiansky,49.05,18.416667,village
115,Tvrdošín,Tvrdošín,Žilinský,49.336574,19.554188,town
116,Zákamenné,Námestovo,Žilinský,49.383333,19.3,village
117,Nitrianske Pravno,Prievidza,Trenčiansky,48.866667,18.633333,village
118,Streženice,Púchov,Trenčiansky,49.1,18.3,village
119,Martin,Martin,Žilinský,49.07226,18.929174,town
120,Bardoňovo,Nové Zámky,Nitriansky,48.116667,18.416667,village
121,Leľa,Nové Zámky,Nitriansky,47.863625,18.767487,village
122,Mokrý Háj,Skalica,Trnavský,48.810594,17.246132,village
123,Gabčíkovo,Dunajská Streda,Trnavský,47.895106,17.578125,town
124,Krškany,Levice,Nitriansky,48.221253,18.670036,village
125,Bratislava,Bratislava I,Bratislavský,48.153538,17.109671,city
126,Bardejov,Bardejov,Prešovský,49.292999,21.27554,town
127,Košice - mestská časť Západ,Košice II,Košický,48.714333,21.227312,suburb
128,Košice - mestská časť Juh,Košice IV,Košický,48.706875,21.259905,suburb
129,Svidník,Svidník,Prešovský,49.308408,21.573643,town
130,Mostová,Galanta,Trnavský,48.140162,17.678594,village
131,Lažany,Prievidza,Trenčiansky,48.819215,18.622017,village
132,Košice - mestská časť Šaca,Košice II,Košický,48.631448,21.171446,suburb
133,Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,48.721667,18.259826,town
134,Nová Dubnica,Ilava,Trenčiansky,48.940148,18.145837,town
135,Dolný Kubín,Dolný Kubín,Žilinský,49.218073,19.29539,town
136,Jelšava,Revúca,Banskobystrický,48.627976,20.24008,village
137,Valaliky,Košice - okolie,Košický,48.641526,21.29313,village
138,Michaľany,Trebišov,Košický,48.516667,21.633333,village
139,Prusy,Bánovce nad Bebravou,Trenčiansky,48.758555,18.260143,village
140,Čata,Levice,Nitriansky,47.95,18.666667,village
141,Dolné Srnie,Nové Mesto nad Váhom,Trenčiansky,48.80029,17.819541,village
142,Radošovce,Skalica,Trnavský,48.766667,17.283333,village
143,Kráľov Brod,Galanta,Trnavský,48.058997,17.830464,village
144,Žiar nad Hronom,Žiar nad Hronom,Banskobystrický,48.590505,18.853646,town
145,Radoľa,Kysucké Nové Mesto,Žilinský,49.290202,18.794346,village
146,Topoľčianky,Zlaté Moravce,Nitriansky,48.420271,18.410113,village
147,Veľká Mača,Galanta,Trnavský,48.245092,17.686623,village
148,Turzovka,Čadca,Žilinský,49.402543,18.628775,town
149,Brezno,Brezno,Banskobystrický,48.805335,19.640961,town
150,Mužla,Nové Zámky,Nitriansky,47.78991,18.600899,village
151,Bratislava - mestská časť Rača,Bratislava III,Bratislavský,48.211512,17.1534,suburb
152,Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,48.130042,17.207422,suburb
153,Pernek,Malacky,Bratislavský,48.368333,17.143541,village
154,Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,48.160464,17.047532,suburb
155,Zlatná na Ostrove,Komárno,Nitriansky,47.767557,17.976459,village
156,Cabaj - Čápor,Nitra,Nitriansky,48.245665,18.023092,village
157,Štúrovo,Nové Zámky,Nitriansky,47.797831,18.71486,town
158,Pohronský Ruskov,Levice,Nitriansky,47.983333,18.666667,village
159,Veľké Lovce,Nové Zámky,Nitriansky,48.066661,18.333335,village
160,Holíč,Skalica,Trnavský,48.8,17.166667,town
161,Kálnica,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,village
162,Nová Vieska,Nové Zámky,Nitriansky,47.869087,18.461012,village
163,Veľká Hradná,Trenčín,Trenčiansky,48.768904,18.142173,village
164,Súlovce,Topoľčany,Nitriansky,48.466667,18.166667,village
165,Hanušovce nad Topľou,Vranov nad Topľou,Prešovský,49.033333,21.5,village
