id,producent_id,druh_odpadu_id,t_rok_min,t_rok_stred,t_rok_max,metoda,uroven_dokazu
1,2,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
2,3,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
3,4,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
4,5,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
5,6,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
6,7,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
7,8,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
8,9,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
9,10,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
10,11,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
11,12,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
12,13,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
13,14,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
14,15,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
15,16,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
16,17,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
17,18,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
18,19,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
19,20,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
20,21,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
21,22,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
22,92,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
23,102,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
24,103,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
25,119,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
26,123,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
27,125,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
28,129,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
29,130,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
30,131,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
31,153,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
32,165,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
33,172,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
34,173,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
35,174,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
36,175,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
37,179,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
38,180,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
39,181,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
40,182,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
41,183,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
42,187,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
43,189,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
44,192,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
45,207,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
46,215,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
47,218,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
48,219,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
49,220,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
50,221,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
51,230,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
52,233,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
53,294,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
54,295,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
55,296,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
56,297,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
57,299,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
58,300,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
59,301,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
60,302,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
61,303,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
62,304,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
63,305,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
64,306,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
65,307,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
66,308,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
67,313,77,1.278,1.562,2.272,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
68,314,79,20.147,26.863,32.739,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
69,350,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
70,351,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
71,352,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
72,353,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
73,354,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
74,355,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
75,356,77,1.449,1.771,2.576,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
