id,druh_odpadu_id,draha_id,pripustnost,regulacna_trieda,poznamka,uroven_dokazu
1,19,9,povolene,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
2,19,6,podmienene,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
3,19,8,zakazane,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
4,19,7,podmienene,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
5,19,2,zakazane,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
6,19,1,zakazane,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
7,19,3,zakazane,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
8,19,4,zakazane,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
9,19,5,podmienene,zvp_kat2,Tlaková sterilizácia 133 °C/20 min/3 bar povinná. Len technické produkty mimo reťazca.,D
10,12,9,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
11,12,6,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
12,12,8,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
13,12,7,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
14,12,2,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
15,12,1,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
16,12,3,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
17,12,4,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
18,12,5,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
19,62,9,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
20,62,6,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
21,62,8,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
22,62,7,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
23,62,2,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
24,62,1,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
25,62,3,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
26,62,4,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
27,62,5,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
28,39,9,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
29,39,6,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
30,39,8,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
31,39,7,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
32,39,2,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
33,39,1,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
34,39,3,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
35,39,4,podmienene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
36,39,5,povolene,byvala_potravina_bez_zvp,Bývalé potraviny bez mäsa a rýb - prípustná kŕmna surovina podľa nar. (EÚ) 68/2013.,D
37,3,9,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
38,3,6,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
39,3,8,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
40,3,7,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
41,3,2,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
42,3,1,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
43,3,3,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
44,3,4,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
45,3,5,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
46,13,9,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
47,13,6,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
48,13,8,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
49,13,7,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
50,13,2,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
51,13,1,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
52,13,3,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
53,13,4,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
54,13,5,povolene,rastlinny,Materiál rastlinného pôvodu - prípustný substrát pre chov hmyzu vo všetkých dráhach.,D
55,17,9,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
56,17,6,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
57,17,8,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
58,17,7,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
59,17,2,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
60,17,1,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
61,17,3,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
62,17,4,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
63,17,5,povolene,mlieko_vajcia,"Mlieko, mliečne výrobky a vajcia sú výslovne prípustné ŽVP pre chov hmyzu.",D
64,69,9,povolene,kal_cov,Čistiarenský kal - riziko ťažkých kovov a liečiv. Mimo potravinového aj krmivového reťazca.,D
