id,ico,nazov,ulica,psc,obec_id,obec_nazov,obec_kod,okres,kraj,lat,lon,presnost_polohy,typ_prevadzky,typ_nazov,sektor,zdroj_id
1,00153052,"SHP Harmanec, a.s.",,97603,1,Harmanec,SK0321508594,Banská Bystrica,Banskobystrický,48.795803,19.080853,obec,papierne,Papiereň a celulózka,"Drevo, lesníctvo a ostatné",1
2,00159468,Stredná odborná škola agropotravinárska a technická,,,2,Kežmarok,SK0413523585,Kežmarok,Prešovský,49.136318,20.430447,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
3,00159476,"Stredná odborná škola podnikania a služieb, Komenského 16, Lipany",,,3,Lipany,SK0418524778,Sabinov,Prešovský,49.15,20.966667,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
4,00159514,Stredná odborná škola služieb Majstra Pavla,,,4,Levoča,SK0414543292,Levoča,Prešovský,49.025112,20.587999,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
5,00160270,Gymnázium M. R. Štefánika,,,5,Nové Mesto nad Váhom,SK0224506338,Nové Mesto nad Váhom,Trenčiansky,48.763325,17.830386,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
6,00160482,Gymnázium Janka Kráľa,,,6,Zlaté Moravce,SK0237500968,Zlaté Moravce,Nitriansky,48.383333,18.4,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
7,00160504,Gymnázium Jána Amosa Komenského,,,7,Želiezovce,SK0232502987,Levice,Nitriansky,48.049226,18.658355,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
8,00160539,Gymnázium Andreja Kmeťa,,,8,Banská Štiavnica,SK0322516643,Banská Štiavnica,Banskobystrický,48.458093,18.89828,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
9,00160717,Gymnázium Antona Bernoláka,,,9,Námestovo,SK0317509868,Námestovo,Žilinský,49.409512,19.480783,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
10,00160792,Gymnázium Ružomberok,,,10,Ružomberok,SK0318510998,Ružomberok,Žilinský,49.08187,19.302965,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
11,00160865,Gymnázium Ľudovíta Štúra,,,11,Zvolen,SK032B518158,Zvolen,Banskobystrický,48.576512,19.128476,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
12,00161021,Gymnázium Krompachy,,,12,Krompachy,SK042A543268,Spišská Nová Ves,Košický,48.917127,20.873055,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
13,00161098,Gymnázium Poprad,,,13,Poprad,SK0416523381,Poprad,Prešovský,49.054152,20.29764,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
14,00161101,Gymnázium Jána Adama Raymana,,,14,Prešov,SK0417524140,Prešov,Prešovský,49.000411,21.252273,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
15,00161110,Gymnázium Prešov,,,14,Prešov,SK0417524140,Prešov,Prešovský,49.000411,21.252273,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
16,00161144,Gymnázium Pavla Jozefa Šafárika,,,15,Rožňava,SK0428525529,Rožňava,Košický,48.654392,20.531184,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
17,00161268,Gymnázium Cyrila Daxnera,,,16,Vranov nad Topľou,SK041D544051,Vranov nad Topľou,Prešovský,48.890524,21.680564,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
18,00162787,"Stredná odborná škola pedagogická, Sokolská 6, Modra",,,17,Modra,SK0107508101,Pezinok,Bratislavský,48.336443,17.308037,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
19,00162809,"Stredná odborná škola pedagogická, Komenského 12, Lučenec",,,18,Lučenec,SK0326511218,Lučenec,Banskobystrický,48.330282,19.664144,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
20,00162817,"Stredná odborná škola pedagogická, SNP 509/116, Turčianske Teplice",,,19,Turčianske Teplice,SK0319512729,Turčianske Teplice,Žilinský,48.862737,18.858728,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
21,00162825,"Stredná odborná škola pedagogická, Kmeťovo stromoradie 5, Prešov",,,14,Prešov,SK0417524140,Prešov,Prešovský,49.000411,21.252273,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
22,00162833,"Stredná odborná škola pedagogická, Bottova 15A, Levoča",,,4,Levoča,SK0414543292,Levoča,Prešovský,49.025112,20.587999,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
23,00168823,"COOP Jednota Bratislava - vidiek, spotrebné družstvo",,,20,Bratislava - mestská časť Nové Mesto,SK0103529346,Bratislava III,Bratislavský,48.167188,17.138349,mestska_cast,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
24,00168831,"COOP Jednota Dunajská Streda, spotrebné družstvo",,,21,Dunajská Streda,SK0211501433,Dunajská Streda,Trnavský,47.989309,17.620142,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
25,00168840,"COOP Jednota Galanta, spotrebné družstvo",,,22,Galanta,SK0212503665,Galanta,Trnavský,48.191057,17.727778,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
26,00168874,"COOP Jednota Nitra, spotrebné družstvo",,,23,Nitra,SK0233500011,Nitra,Nitriansky,48.31257,18.09061,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
27,00168882,"COOP Jednota Nové Zámky, spotrebné družstvo",,,24,Nové Zámky,SK0234503011,Nové Zámky,Nitriansky,47.98334,18.166661,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
28,00168891,"COOP Jednota Senica, spotrebné družstvo",,,25,Senica,SK0215504203,Senica,Trnavský,48.679121,17.364383,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
29,00168904,"COOP Jednota Topoľčany, spotrebné družstvo",,,26,Topoľčany,SK0236504998,Topoľčany,Nitriansky,48.559116,18.176052,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
30,00168912,"COOP Jednota Trenčín, spotrebné družstvo",,,27,Trenčín,SK0229505820,Trenčín,Trenčiansky,48.892358,18.039372,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
31,00168921,"COOP Jednota Trnava, spotrebné družstvo",,,28,Trnava,SK0217506745,Trnava,Trnavský,48.37729,17.586718,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
32,00168947,"COOP Jednota Čadca, spotrebné družstvo",,,29,Čadca,SK0312509132,Čadca,Žilinský,49.440819,18.788221,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
33,00168963,"COOP Jednota Liptovský Mikuláš, spotrebné družstvo",,,30,Liptovský Mikuláš,SK0315510262,Liptovský Mikuláš,Žilinský,49.083333,19.616667,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
34,00168980,"COOP JEDNOTA MARTIN, spotrebné družstvo",,,19,Turčianske Teplice,SK0319512729,Turčianske Teplice,Žilinský,48.862737,18.858728,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
35,00169005,"COOP Jednota Prievidza, spotrebné družstvo",,,31,Prievidza,SK0227513881,Prievidza,Trenčiansky,48.77104,18.623306,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
36,00169021,"COOP Jednota Krupina, spotrebné družstvo",,,32,Krupina,SK0325518557,Krupina,Banskobystrický,48.352728,19.069182,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
37,00169030,"COOP JEDNOTA ŽARNOVICA, spotrebné družstvo",,,33,Žarnovica,SK032C517381,Žarnovica,Banskobystrický,48.483398,18.72155,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
38,00169048,"COOP Jednota Žilina, spotrebné družstvo",,,34,Žilina,SK031B517402,Žilina,Žilinský,49.223464,18.739498,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
39,00169081,"COOP Jednota Humenné, spotrebné družstvo",,,35,Humenné,SK0412520004,Humenné,Prešovský,48.934603,21.90314,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
40,00169099,"COOP JEDNOTA Michalovce, spotrebné družstvo",,,36,Michalovce,SK0427522279,Michalovce,Košický,48.75,21.933333,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
41,00169102,"COOP JEDNOTA POPRAD, spotrebné družstvo",,,13,Poprad,SK0416523381,Poprad,Prešovský,49.054152,20.29764,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
42,00169111,"COOP Jednota Prešov, spotrebné družstvo",,,14,Prešov,SK0417524140,Prešov,Prešovský,49.000411,21.252273,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
43,00169129,"COOP JEDNOTA REVÚCA, spotrebné družstvo",,,37,Revúca,SK0328526142,Revúca,Banskobystrický,48.683333,20.116667,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
