okres,kraj,producentov,typov_prevadzok
Banská Bystrica,Banskobystrický,17,14
Banská Štiavnica,Banskobystrický,6,5
Bardejov,Prešovský,14,6
Bratislava I,Bratislavský,28,14
Bratislava II,Bratislavský,20,11
Bratislava III,Bratislavský,8,8
Bratislava IV,Bratislavský,3,2
Bratislava V,Bratislavský,3,2
Brezno,Banskobystrický,10,8
Bytča,Žilinský,3,3
Bánovce nad Bebravou,Trenčiansky,14,8
Detva,Banskobystrický,7,6
Dolný Kubín,Žilinský,6,6
Dunajská Streda,Trnavský,16,13
Galanta,Trnavský,32,17
Gelnica,Košický,6,6
Hlohovec,Trnavský,6,6
Humenné,Prešovský,11,8
Ilava,Trenčiansky,19,10
Kežmarok,Prešovský,12,9
Komárno,Nitriansky,26,10
Košice - okolie,Košický,7,7
Košice I,Košický,11,7
Košice II,Košický,5,3
Košice IV,Košický,7,5
Krupina,Banskobystrický,9,8
Kysucké Nové Mesto,Žilinský,6,3
Levice,Nitriansky,29,13
Levoča,Prešovský,10,4
Liptovský Mikuláš,Žilinský,17,8
Lučenec,Banskobystrický,8,6
Malacky,Bratislavský,17,10
Martin,Žilinský,21,12
Medzilaborce,Prešovský,1,1
Michalovce,Košický,17,13
Myjava,Trenčiansky,12,8
Nitra,Nitriansky,29,19
Nové Mesto nad Váhom,Trenčiansky,22,8
Nové Zámky,Nitriansky,52,22
Námestovo,Žilinský,15,11
Partizánske,Trenčiansky,12,9
Pezinok,Bratislavský,19,9
Piešťany,Trnavský,9,9
Poltár,Banskobystrický,2,2
Poprad,Prešovský,21,16
Považská Bystrica,Trenčiansky,17,9
Prešov,Prešovský,26,11
Prievidza,Trenčiansky,27,16
Púchov,Trenčiansky,20,11
Revúca,Banskobystrický,6,5
Rimavská Sobota,Banskobystrický,7,7
Rožňava,Košický,15,10
Ružomberok,Žilinský,14,12
Sabinov,Prešovský,7,7
Senec,Bratislavský,17,13
Senica,Trnavský,10,8
Skalica,Trnavský,20,10
Snina,Prešovský,5,5
Sobrance,Košický,3,2
Spišská Nová Ves,Košický,11,5
Stará Ľubovňa,Prešovský,5,3
Stropkov,Prešovský,2,2
Svidník,Prešovský,6,4
Topoľčany,Nitriansky,20,13
Trebišov,Košický,13,8
Trenčín,Trenčiansky,37,13
Trnava,Trnavský,24,16
Turčianske Teplice,Žilinský,5,5
Tvrdošín,Žilinský,4,4
Veľký Krtíš,Banskobystrický,2,2
Vranov nad Topľou,Prešovský,15,11
Zlaté Moravce,Nitriansky,11,8
Zvolen,Banskobystrický,10,8
Čadca,Žilinský,16,9
Šaľa,Nitriansky,6,5
Žarnovica,Banskobystrický,4,4
Žiar nad Hronom,Banskobystrický,6,6
Žilina,Žilinský,26,14
