ico,nazov,obec,okres,kraj,sektor,typ_nazov,kapacita,kapacita_jednotka,kapacita_uroven,odpad,katalogove_cislo_navrh,t_rok_min,t_rok_stred,t_rok_max
00159468,Stredná odborná škola agropotravinárska a technická,Kežmarok,Kežmarok,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00159476,"Stredná odborná škola podnikania a služieb, Komenského 16, Lipany",Lipany,Sabinov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00159514,Stredná odborná škola služieb Majstra Pavla,Levoča,Levoča,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00160270,Gymnázium M. R. Štefánika,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00160482,Gymnázium Janka Kráľa,Zlaté Moravce,Zlaté Moravce,Nitriansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00160504,Gymnázium Jána Amosa Komenského,Želiezovce,Levice,Nitriansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00160539,Gymnázium Andreja Kmeťa,Banská Štiavnica,Banská Štiavnica,Banskobystrický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00160717,Gymnázium Antona Bernoláka,Námestovo,Námestovo,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00160792,Gymnázium Ružomberok,Ružomberok,Ružomberok,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00160865,Gymnázium Ľudovíta Štúra,Zvolen,Zvolen,Banskobystrický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00161021,Gymnázium Krompachy,Krompachy,Spišská Nová Ves,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00161098,Gymnázium Poprad,Poprad,Poprad,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00161101,Gymnázium Jána Adama Raymana,Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00161110,Gymnázium Prešov,Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00161144,Gymnázium Pavla Jozefa Šafárika,Rožňava,Rožňava,Košický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00161268,Gymnázium Cyrila Daxnera,Vranov nad Topľou,Vranov nad Topľou,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00162787,"Stredná odborná škola pedagogická, Sokolská 6, Modra",Modra,Pezinok,Bratislavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00162809,"Stredná odborná škola pedagogická, Komenského 12, Lučenec",Lučenec,Lučenec,Banskobystrický,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00162817,"Stredná odborná škola pedagogická, SNP 509/116, Turčianske Teplice",Turčianske Teplice,Turčianske Teplice,Žilinský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00162825,"Stredná odborná škola pedagogická, Kmeťovo stromoradie 5, Prešov",Prešov,Prešov,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00162833,"Stredná odborná škola pedagogická, Bottova 15A, Levoča",Levoča,Levoča,Prešovský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00351997,Stredná odborná škola podnikania v remeslách a službách,Senica,Senica,Trnavský,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00399388,"Stredná odborná škola techniky a služieb, Šahy",Šahy,Levice,Nitriansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
00399850,Gymnázium Juraja Fándlyho,Šaľa,Šaľa,Nitriansky,Gastro a stravovacie zariadenia,Stredná škola,299.0,žiak,typova,Kuchynský odpad zo školských jedální,20 01 08,1.278,1.562,2.272
