ico,nazov,obec,okres,kraj,lat,lon,sektor,typ_nazov,odpad_kod,odpad,katalogove_cislo_navrh,pravny_status,sezonnost,uroven_dokazu
00153052,"SHP Harmanec, a.s.",Harmanec,Banská Bystrica,Banskobystrický,48.795803,19.080853,"Drevo, lesníctvo a ostatné",Papiereň a celulózka,papierensky_kal,Papierenský kal,03 03 11,odpad,celorocne,D
00153052,"SHP Harmanec, a.s.",Harmanec,Banská Bystrica,Banskobystrický,48.795803,19.080853,"Drevo, lesníctvo a ostatné",Papiereň a celulózka,vlaknity_vymet,Výmety z vlákien a plnív,03 03 10,odpad,celorocne,D
00153052,"SHP Harmanec, a.s.",Harmanec,Banská Bystrica,Banskobystrický,48.795803,19.080853,"Drevo, lesníctvo a ostatné",Papiereň a celulózka,kora,Odpadová kôra,03 01 01,vedlajsi_produkt,celorocne,D
00159468,Stredná odborná škola agropotravinárska a technická,Kežmarok,Kežmarok,Prešovský,49.136318,20.430447,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00159468,Stredná odborná škola agropotravinárska a technická,Kežmarok,Kežmarok,Prešovský,49.136318,20.430447,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00159468,Stredná odborná škola agropotravinárska a technická,Kežmarok,Kežmarok,Prešovský,49.136318,20.430447,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00159468,Stredná odborná škola agropotravinárska a technická,Kežmarok,Kežmarok,Prešovský,49.136318,20.430447,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00159476,"Stredná odborná škola podnikania a služieb, Komenského 16, Lipany",Lipany,Sabinov,Prešovský,49.15,20.966667,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00159476,"Stredná odborná škola podnikania a služieb, Komenského 16, Lipany",Lipany,Sabinov,Prešovský,49.15,20.966667,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00159476,"Stredná odborná škola podnikania a služieb, Komenského 16, Lipany",Lipany,Sabinov,Prešovský,49.15,20.966667,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00159476,"Stredná odborná škola podnikania a služieb, Komenského 16, Lipany",Lipany,Sabinov,Prešovský,49.15,20.966667,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00159514,Stredná odborná škola služieb Majstra Pavla,Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00159514,Stredná odborná škola služieb Majstra Pavla,Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00159514,Stredná odborná škola služieb Majstra Pavla,Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00159514,Stredná odborná škola služieb Majstra Pavla,Levoča,Levoča,Prešovský,49.025112,20.587999,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00160270,Gymnázium M. R. Štefánika,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,48.763325,17.830386,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00160270,Gymnázium M. R. Štefánika,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,48.763325,17.830386,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00160270,Gymnázium M. R. Štefánika,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,48.763325,17.830386,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00160270,Gymnázium M. R. Štefánika,Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,48.763325,17.830386,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00160482,Gymnázium Janka Kráľa,Zlaté Moravce,Zlaté Moravce,Nitriansky,48.383333,18.4,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00160482,Gymnázium Janka Kráľa,Zlaté Moravce,Zlaté Moravce,Nitriansky,48.383333,18.4,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00160482,Gymnázium Janka Kráľa,Zlaté Moravce,Zlaté Moravce,Nitriansky,48.383333,18.4,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00160482,Gymnázium Janka Kráľa,Zlaté Moravce,Zlaté Moravce,Nitriansky,48.383333,18.4,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00160504,Gymnázium Jána Amosa Komenského,Želiezovce,Levice,Nitriansky,48.049226,18.658355,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00160504,Gymnázium Jána Amosa Komenského,Želiezovce,Levice,Nitriansky,48.049226,18.658355,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00160504,Gymnázium Jána Amosa Komenského,Želiezovce,Levice,Nitriansky,48.049226,18.658355,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00160504,Gymnázium Jána Amosa Komenského,Želiezovce,Levice,Nitriansky,48.049226,18.658355,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00160539,Gymnázium Andreja Kmeťa,Banská Štiavnica,Banská Štiavnica,Banskobystrický,48.458093,18.89828,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00160539,Gymnázium Andreja Kmeťa,Banská Štiavnica,Banská Štiavnica,Banskobystrický,48.458093,18.89828,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00160539,Gymnázium Andreja Kmeťa,Banská Štiavnica,Banská Štiavnica,Banskobystrický,48.458093,18.89828,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
00160539,Gymnázium Andreja Kmeťa,Banská Štiavnica,Banská Štiavnica,Banskobystrický,48.458093,18.89828,Gastro a stravovacie zariadenia,Stredná škola,bro_zahrady,Biologicky rozložiteľný odpad zo záhrad,20 02 01,odpad,sezonne_leto,D
00160717,Gymnázium Antona Bernoláka,Námestovo,Námestovo,Žilinský,49.409512,19.480783,Gastro a stravovacie zariadenia,Stredná škola,skolsky_kuchynsky_odpad,Kuchynský odpad zo školských jedální,20 01 08,odpad,celorocne,D
00160717,Gymnázium Antona Bernoláka,Námestovo,Námestovo,Žilinský,49.409512,19.480783,Gastro a stravovacie zariadenia,Stredná škola,zvysky_z_taniera,Zvyšky z taniera,20 01 08,odpad,celorocne,D
00160717,Gymnázium Antona Bernoláka,Námestovo,Námestovo,Žilinský,49.409512,19.480783,Gastro a stravovacie zariadenia,Stredná škola,gastro_fritovaci_olej,Použitý fritovací olej z gastroprevádzok,20 01 25,odpad,celorocne,D
